id,text
0,Cuadrilla files to delay application to frack in Lancashire
1,Royal Mail chairman Donald Brydon set to step down
2,UPDATE 2-EasyJet sees better first half on lower fuel bill
3,Slump in Weir leads FTSE down from record high
4,AstraZeneca wins FDA approval for key new lung cancer pill
5,Sainsbury chief warns of squeeze on high street retailers
6,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan
7,Primark plots expansion in US and Europe
8,Standard Chartered Shifts Emerging-Markets Strategy After Losses
9,Barclays fined for anti-money-laundering failings
10,UPDATE 3-Barclays fined for lax crime checks in 'deal of century'
11,Easyjet targets business travellers with new perks
12,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval
13,GSK aims to file up to 20 new drugs for approval by 2020
14,Severn Trent share price rises as first half profit inches up as customer ...
15,Prudential knocked after investors withdraw Â£3.9bn from M&G
16,CompaniesUnited Utilities H1 profits just miss expectations
17,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil
18,Lloyds to cut 945 jobs as part of three-year restructuring strategy
19,AstraZeneca to Buy ZS Pharma for $2.7 Billion
20,AstraZeneca to Buy ZS Pharma for $2.7 Billion
21,"Ackman, in email, says supports Valeant CEO Pearson"
22,Severn Trent profit up as customer complaints fall
23,Experian says receives class actions related to T-Mobile breach
24,AstraZeneca sells US drug rights to Perrigo for $380 mln
25,AstraZeneca sells US drug rights to Perrigo for $380 mln
26,Landlord Hammerson's NAV rises on increased leasing activity
27,CompaniesNational Grid lines up sale of gas business
28,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion"
29,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion"
30,CORRECTED-Shire to buy Dyax for about $5.9 bln
31,CORRECTED-Shire to buy Dyax for about $5.9 bln
32,British American Tobacco accused of bribing senior politicians to sabotage ...
33,"UPDATE 2-AB InBev launches SAB bid, to sell MillerCoors stake"
34,Germany lags European share rally as Volkswagen scandal widens
35,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal
36,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal
37,AstraZeneca shares climb 3% as drug maker ups profits forecasts
38,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller
39,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller
40,Randgold Resources third quarter profit slips despite record production
41,easyJet expects resilient demand to withstand security fears
42,Compass Group says positive for year ahead
43,"Associated British Foods Profit Hit by Strong Sterling, Tough Sugar Business"
44,Prudential hit by withdrawals from M&G investment arm
45,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits
46,BAE Systems cuts earnings target for 2015 and 370 jobs
47,US dollar wipes out sales gains for SABMiller
48,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins"
49,"AB InBev launches SAB bid, to sell MillerCoors stake"
50,Barclays settles with US investors over Libor manipulation
51,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales
52,Valeant CEO Pledges to Heed Critics After `Painful' Experience
53,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?"
54,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?"
55,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?"
56,StanChart and RBS struggle in Bank of England stress tests
57,StanChart and RBS struggle in Bank of England stress tests
